# Borussia Monchengladbach 2-2 1. FC Heidenheim | 14:47-19:47 | Bundesliga MD28
# Synced with video.h264 (starts at match 14:47, 7s into mohya_goal clip)
# Mohya GOAL at offset 26s! Equalizer (Mainka) at ~25:34 match = beyond this clip
# Format: offset_seconds|priority|message
#
2|APPEND|Ramaj to Busch.
8|APPEND|Reitz to Elvedi.
16|APPEND|Honorat beats his man with a skillful dribble!
18|APPEND|Honorat to Castrop.
24|APPEND|to Mohya.
26|INTERRUPT|GOAL! Mohya fires a right-footed shot into the net from 10 meters! Assisted by Castrop. It's 1-0!
101|APPEND|Engelhardt to Machino.
106|APPEND|Pieringer to Zivzivadze.
107|APPEND|to Dorsch.
110|APPEND|Diks to Machino.
115|APPEND|to Diks.
119|APPEND|Foul by Heidenheim.
136|APPEND|Reitz to Elvedi.
138|APPEND|to Diks.
141|APPEND|to Mohya.
142|APPEND|to Diks.
145|APPEND|to Nicolas.
147|APPEND|to Engelhardt.
152|APPEND|to Machino.
153|APPEND|to Sander.
161|APPEND|Throw-in for Heidenheim.
179|APPEND|Sander to Machino.
181|APPEND|Tackle attempted by Behrens.
181|APPEND|Machino to Honorat.
186|APPEND|Fohrenbach to Ramaj.
190|APPEND|to Fohrenbach.
193|APPEND|to Behrens.
199|APPEND|Engelhardt to Reitz.
206|APPEND|Mainka to Behrens.
210|APPEND|to Niehues.
213|APPEND|to Dorsch.
218|APPEND|to Busch.
221|APPEND|to Mainka.
223|APPEND|to Niehues.
226|APPEND|to Ramaj.
228|APPEND|to Niehues.
230|APPEND|to Mainka.
234|APPEND|to Dorsch.
238|APPEND|to Fohrenbach.
240|APPEND|to Behrens.
243|APPEND|to Ramaj.
255|APPEND|Mainka to Busch.
258|APPEND|to Dorsch.
264|APPEND|to Busch.
268|APPEND|Busch whips in a cross and finds a teammate.
281|INTERRUPT|Behrens tries a right-footed shot from 10 meters, but it's deflected wide.
