# Borussia Monchengladbach 2-2 1. FC Heidenheim | Full Match | Bundesliga MD28 2026-04-04
# Generated from Sportradar Extended API (1089 events)
# Format: mm:ss|priority|message
# Total speak events: 898
#
00:00|INTERRUPT|Kick-off! Gladbach versus Heidenheim is underway at Borussia-Park!
00:06|APPEND|Machino to Nicolas.
00:12|APPEND|Dorsch to Niehues.
00:19|APPEND|to Busch.
00:28|APPEND|Elvedi to Nicolas.
00:30|APPEND|to Diks.
00:36|APPEND|to Sander.
00:38|APPEND|to Nicolas.
00:56|APPEND|Engelhardt to Reitz.
00:59|APPEND|to Elvedi.
01:00|APPEND|to Engelhardt.
01:06|APPEND|to Diks.
01:09|APPEND|to Engelhardt.
01:11|APPEND|to Reitz.
01:12|APPEND|to Honorat.
01:15|APPEND|to Engelhardt.
01:22|APPEND|Dorsch to Behrens.
01:26|APPEND|to Pieringer.
01:28|APPEND|to Niehues.
01:30|APPEND|to Dorsch.
01:33|APPEND|to Busch.
01:37|APPEND|to Dinkci.
01:40|APPEND|to Zivzivadze.
01:43|APPEND|to Busch.
01:46|APPEND|to Mainka.
01:48|APPEND|to Busch.
01:53|APPEND|to Mainka.
01:56|APPEND|to Ramaj.
01:58|APPEND|to Fohrenbach.
02:08|APPEND|Throw-in for Gladbach.
02:19|APPEND|Nicolas to Engelhardt.
02:23|APPEND|to Elvedi.
02:28|APPEND|to Nicolas.
02:36|APPEND|to Mohya.
02:56|APPEND|Goal kick for Heidenheim.
03:10|APPEND|Niehues to Ramaj.
03:13|APPEND|to Busch.
03:15|APPEND|to Mainka.
03:20|APPEND|Castrop to Honorat.
03:22|APPEND|to Scally.
03:26|APPEND|to Engelhardt.
03:30|APPEND|to Elvedi.
03:33|APPEND|to Diks.
03:36|APPEND|to Mohya.
03:37|APPEND|to Castrop.
03:39|APPEND|to Reitz.
03:44|APPEND|to Mohya.
03:47|APPEND|to Sander.
03:53|APPEND|to Honorat.
03:55|APPEND|to Scally.
04:01|APPEND|Smart interception by Behrens.
04:04|APPEND|Niehues to Ramaj.
04:14|APPEND|Engelhardt to Honorat.
04:19|APPEND|Smart interception by Dorsch.
04:23|APPEND|Honsak to Zivzivadze.
04:28|APPEND|Foul by Gladbach.
04:59|APPEND|Mainka to Ramaj.
05:02|APPEND|to Fohrenbach.
05:04|APPEND|to Behrens.
05:05|APPEND|to Fohrenbach.
05:07|APPEND|to Ramaj.
05:22|APPEND|Sander to Elvedi.
05:26|APPEND|to Sander.
05:29|APPEND|to Elvedi.
05:40|APPEND|to Mohya.
05:44|APPEND|to Nicolas.
05:48|APPEND|to Diks.
05:54|APPEND|to Honorat.
06:02|APPEND|Dorsch to Zivzivadze.
06:08|APPEND|to Dorsch.
06:10|INTERRUPT|Dinkci tries a right-footed shot from 10 meters, but it's deflected wide.
06:10|APPEND|Dorsch to Dinkci.
06:16|APPEND|Niehues to Busch.
06:24|APPEND|to Mainka.
06:28|APPEND|to Dorsch.
06:31|APPEND|to Mainka.
06:35|APPEND|to Niehues.
06:37|APPEND|to Mainka.
06:38|APPEND|to Fohrenbach.
06:42|APPEND|to Zivzivadze.
06:46|APPEND|Sander to Scally.
06:48|APPEND|to Sander.
06:52|APPEND|to Nicolas.
06:54|APPEND|to Scally.
07:00|APPEND|Behrens to Fohrenbach.
07:03|APPEND|to Ramaj.
07:06|APPEND|to Mainka.
07:11|APPEND|to Niehues.
07:13|APPEND|to Fohrenbach.
07:19|APPEND|to Ramaj.
07:36|APPEND|Nicolas to Elvedi.
07:38|APPEND|to Sander.
07:41|APPEND|to Reitz.
07:43|APPEND|to Elvedi.
07:50|APPEND|to Castrop.
07:57|APPEND|Great tackle by Dinkci!
08:12|APPEND|Foul by Gladbach.
08:54|APPEND|Ramaj to Fohrenbach.
08:58|APPEND|to Niehues.
09:08|APPEND|Busch to Pieringer.
09:09|APPEND|Great tackle by Engelhardt!
09:10|APPEND|Engelhardt to Diks.
09:11|APPEND|to Elvedi.
09:18|APPEND|Behrens to Fohrenbach.
09:20|APPEND|to Behrens.
09:22|APPEND|to Dorsch.
09:26|APPEND|to Niehues.
09:28|APPEND|to Busch.
09:31|APPEND|to Mainka.
09:34|APPEND|to Dorsch.
09:39|APPEND|to Niehues.
09:41|APPEND|to Ramaj.
09:47|APPEND|to Fohrenbach.
10:02|APPEND|Reitz to Machino.
10:05|APPEND|Busch to Ramaj.
10:12|APPEND|Elvedi to Scally.
10:14|APPEND|to Elvedi.
10:16|APPEND|to Reitz.
10:18|APPEND|to Diks.
10:22|APPEND|to Castrop.
10:27|APPEND|to Mohya.
10:35|INTERRUPT|Mohya forces a save with a right-footed effort from 11 meters.
10:53|APPEND|Ramaj to Dorsch.
11:00|APPEND|to Fohrenbach.
11:03|APPEND|to Ramaj.
11:12|APPEND|Diks to Engelhardt.
11:15|APPEND|Niehues to Busch.
11:17|APPEND|to Niehues.
11:19|APPEND|to Behrens.
11:21|APPEND|to Pieringer.
11:25|APPEND|Great tackle by Scally!
11:29|APPEND|Honorat to Sander.
11:31|APPEND|to Nicolas.
11:34|APPEND|to Diks.
11:39|APPEND|to Engelhardt.
11:42|APPEND|to Reitz.
11:47|APPEND|to Elvedi.
11:50|APPEND|to Engelhardt.
11:53|APPEND|to Reitz.
11:56|APPEND|to Sander.
11:59|APPEND|to Nicolas.
12:03|APPEND|to Elvedi.
12:05|APPEND|to Diks.
12:08|APPEND|to Mohya.
12:16|APPEND|Smart interception by Busch.
12:27|APPEND|Sander to Nicolas.
12:33|APPEND|to Diks.
12:38|APPEND|to Reitz.
12:47|APPEND|to Sander.
13:00|APPEND|Fohrenbach to Ramaj.
13:01|APPEND|to Fohrenbach.
13:04|APPEND|to Niehues.
13:08|APPEND|to Mainka.
13:11|APPEND|to Busch.
13:12|APPEND|to Mainka.
13:15|APPEND|to Ramaj.
13:17|APPEND|to Fohrenbach.
13:19|APPEND|to Niehues.
13:22|APPEND|to Busch.
13:27|APPEND|to Dinkci.
13:31|APPEND|Throw-in for Gladbach.
13:47|APPEND|Sander to Engelhardt.
13:48|APPEND|to Scally.
13:54|APPEND|to Sander.
13:59|APPEND|to Elvedi.
14:02|APPEND|to Diks.
14:07|APPEND|to Castrop.
14:20|APPEND|Foul by Gladbach.
14:49|APPEND|Ramaj to Busch.
14:55|APPEND|Reitz to Elvedi.
15:03|APPEND|Honorat beats his man with a skillful dribble!
15:05|APPEND|Honorat to Castrop.
15:11|APPEND|to Mohya.
15:13|INTERRUPT|GOAL! Mohya fires a right-footed shot into the net from 10 meters! Assisted by Castrop. It's 1-0!
16:28|APPEND|Engelhardt to Machino.
16:33|APPEND|Pieringer to Zivzivadze.
16:34|APPEND|to Dorsch.
16:37|APPEND|Diks to Machino.
16:42|APPEND|to Diks.
16:46|APPEND|Foul by Heidenheim.
17:03|APPEND|Reitz to Elvedi.
17:05|APPEND|to Diks.
17:08|APPEND|to Mohya.
17:09|APPEND|to Diks.
17:12|APPEND|to Nicolas.
17:14|APPEND|to Engelhardt.
17:19|APPEND|to Machino.
17:20|APPEND|to Sander.
17:28|APPEND|Throw-in for Heidenheim.
17:46|APPEND|Sander to Machino.
17:48|APPEND|Tackle attempted by Behrens.
17:48|APPEND|Machino to Honorat.
17:53|APPEND|Fohrenbach to Ramaj.
17:57|APPEND|to Fohrenbach.
18:00|APPEND|to Behrens.
18:06|APPEND|Engelhardt to Reitz.
18:13|APPEND|Mainka to Behrens.
18:17|APPEND|to Niehues.
18:20|APPEND|to Dorsch.
18:25|APPEND|to Busch.
18:28|APPEND|to Mainka.
18:30|APPEND|to Niehues.
18:33|APPEND|to Ramaj.
18:35|APPEND|to Niehues.
18:37|APPEND|to Mainka.
18:41|APPEND|to Dorsch.
18:45|APPEND|to Fohrenbach.
18:47|APPEND|to Behrens.
18:50|APPEND|to Ramaj.
19:02|APPEND|Mainka to Busch.
19:05|APPEND|to Dorsch.
19:11|APPEND|to Busch.
19:15|APPEND|Busch whips in a cross and finds a teammate.
19:28|INTERRUPT|Behrens tries a right-footed shot from 10 meters, but it's deflected wide.
20:06|INTERRUPT|Corner kick for Heidenheim, taken by Dorsch.
20:09|APPEND|Dorsch sends in a cross, but it's cleared.
20:11|INTERRUPT|Fohrenbach's shot from 12 meters is deflected wide.
20:17|APPEND|Busch to Dinkci.
20:18|INTERRUPT|Mainka forces a save from 9 meters.
20:18|APPEND|Dinkci whips in a cross and finds a teammate.
20:24|APPEND|Nicolas to Elvedi.
20:27|APPEND|to Sander.
20:29|APPEND|to Scally.
20:31|APPEND|to Machino.
20:41|APPEND|Scally sends in a cross, but it's cleared.
20:49|APPEND|Throw-in for Gladbach.
20:56|APPEND|Scally to Reitz.
21:00|APPEND|to Diks.
21:03|APPEND|to Mohya.
21:05|APPEND|to Castrop.
21:07|APPEND|to Mohya.
21:09|APPEND|to Engelhardt.
21:11|APPEND|to Mohya.
21:13|APPEND|to Diks.
21:15|APPEND|to Nicolas.
21:19|APPEND|to Honorat.
21:22|APPEND|to Engelhardt.
21:32|APPEND|Foul by Gladbach.
22:45|APPEND|Fohrenbach is down injured. Play is stopped.
23:33|APPEND|Foul by Heidenheim.
24:17|APPEND|Castrop to Diks.
24:18|APPEND|to Engelhardt.
24:20|APPEND|to Castrop.
24:32|APPEND|Foul by Gladbach.
24:32|APPEND|Free kick for Heidenheim in a dangerous position, 11 meters from goal.
25:31|APPEND|Dorsch whips in a cross and finds a teammate.
25:34|INTERRUPT|GOAL! Mainka scores! Assisted by Dorsch. It's 1-1!
26:56|APPEND|Goal kick for Gladbach.
27:08|APPEND|Diks to Nicolas.
27:12|APPEND|to Machino.
27:15|APPEND|to Reitz.
27:23|APPEND|Great tackle by Behrens!
27:26|APPEND|Throw-in for Gladbach.
28:02|INTERRUPT|Engelhardt forces a save from 5 meters.
28:02|APPEND|Scally to Engelhardt.
28:20|APPEND|Foul by Gladbach.
28:52|APPEND|Dorsch to Fohrenbach.
28:54|APPEND|to Mainka.
28:56|APPEND|to Busch.
28:59|APPEND|to Fohrenbach.
29:03|APPEND|to Behrens.
29:09|APPEND|to Honsak.
29:18|APPEND|Honorat to Scally.
29:21|APPEND|to Honorat.
29:22|APPEND|Honorat sends in a cross, but it's cleared.
29:30|APPEND|Mohya to Diks.
29:32|APPEND|to Mohya.
29:33|APPEND|to Castrop.
29:35|APPEND|to Mohya.
29:39|APPEND|to Diks.
29:41|APPEND|to Mohya.
29:43|APPEND|to Elvedi.
29:46|APPEND|to Engelhardt.
29:48|APPEND|to Mohya.
29:51|APPEND|to Reitz.
29:54|APPEND|to Nicolas.
29:56|APPEND|to Elvedi.
30:00|APPEND|to Scally.
30:05|APPEND|to Sander.
30:07|APPEND|to Reitz.
30:13|APPEND|to Sander.
30:15|APPEND|to Scally.
30:20|APPEND|to Mohya.
30:22|APPEND|to Machino.
30:30|APPEND|Dorsch to Busch.
30:44|APPEND|Reitz to Sander.
30:48|APPEND|to Reitz.
30:50|APPEND|to Engelhardt.
30:52|APPEND|to Honorat.
30:55|APPEND|to Sander.
30:58|APPEND|to Reitz.
31:01|APPEND|to Mohya.
31:08|APPEND|Mainka to Ramaj.
31:14|APPEND|Throw-in for Gladbach.
31:21|APPEND|Sander to Nicolas.
31:27|APPEND|to Reitz.
31:30|APPEND|to Engelhardt.
31:34|APPEND|to Reitz.
31:37|APPEND|to Engelhardt.
31:44|APPEND|to Diks.
31:45|APPEND|to Castrop.
31:49|APPEND|to Diks.
31:52|INTERRUPT|Diks forces a save with a right-footed effort from 18 meters.
32:20|APPEND|Sander to Scally.
32:21|APPEND|Niehues to Fohrenbach.
32:25|APPEND|to Ramaj.
32:35|APPEND|Sander to Nicolas.
32:39|APPEND|to Castrop.
32:50|APPEND|to Elvedi.
32:55|APPEND|Sander to Scally.
33:02|APPEND|to Reitz.
33:06|APPEND|Niehues to Pieringer.
33:11|APPEND|to Dinkci.
33:25|APPEND|Elvedi to Mohya.
33:56|APPEND|Fohrenbach to Behrens.
33:59|APPEND|to Honsak.
34:02|APPEND|to Fohrenbach.
34:04|APPEND|to Ramaj.
34:07|APPEND|to Dorsch.
34:10|APPEND|to Ramaj.
34:14|APPEND|to Niehues.
34:17|APPEND|to Mainka.
34:18|APPEND|to Dorsch.
34:34|APPEND|Throw-in for Gladbach.
35:11|INTERRUPT|VAR check in progress.
35:15|APPEND|Castrop to Engelhardt.
35:17|APPEND|to Machino.
35:19|APPEND|to Scally.
35:20|APPEND|to Sander.
35:29|APPEND|to Reitz.
35:33|APPEND|to Machino.
35:37|APPEND|Dorsch to Dinkci.
35:48|APPEND|Foul by Heidenheim.
36:17|APPEND|Elvedi to Sander.
36:19|APPEND|to Scally.
36:23|APPEND|to Nicolas.
36:32|APPEND|to Diks.
36:37|APPEND|to Castrop.
36:40|APPEND|Foul by Heidenheim.
36:46|APPEND|Castrop to Reitz.
36:51|INTERRUPT|Reitz's shot from 19 meters is deflected wide.
36:55|INTERRUPT|Honorat fires a right-footed shot from 17 meters, but it goes wide.
36:56|APPEND|Goal kick for Heidenheim.
37:39|APPEND|Dorsch to Fohrenbach.
37:41|APPEND|to Mainka.
37:47|APPEND|to Pieringer.
37:52|APPEND|Throw-in for Gladbach.
37:56|APPEND|Mohya to Reitz.
37:57|APPEND|to Diks.
38:09|APPEND|Zivzivadze to Behrens.
38:14|APPEND|Behrens sends in a cross, but it's cleared.
38:19|APPEND|Dinkci to Busch.
38:20|APPEND|to Mainka.
38:22|APPEND|to Fohrenbach.
38:27|APPEND|to Mainka.
38:30|APPEND|to Busch.
38:39|APPEND|to Pieringer.
38:45|APPEND|Throw-in for Gladbach.
39:00|APPEND|Castrop to Engelhardt.
39:12|APPEND|Throw-in for Heidenheim.
39:45|APPEND|Mainka to Zivzivadze.
39:47|INTERRUPT|Zivzivadze tries a right-footed shot from 8 meters, but it's deflected wide.
40:02|APPEND|Nicolas to Elvedi.
40:05|APPEND|to Diks.
40:07|APPEND|to Mohya.
40:08|APPEND|to Castrop.
40:29|APPEND|Niehues to Pieringer.
40:35|APPEND|Behrens sends in a cross, but it's cleared.
40:39|APPEND|Nicolas to Elvedi.
40:42|APPEND|to Scally.
40:44|APPEND|to Sander.
40:48|APPEND|to Reitz.
40:54|APPEND|to Diks.
40:59|APPEND|to Elvedi.
41:04|APPEND|to Engelhardt.
41:06|APPEND|to Elvedi.
41:08|APPEND|to Reitz.
41:11|APPEND|to Engelhardt.
41:12|APPEND|to Machino.
41:14|APPEND|to Mohya.
41:18|APPEND|to Castrop.
41:24|APPEND|Great tackle by Dinkci!
41:29|INTERRUPT|Yellow card! Castrop is booked for serious foul play.
41:34|APPEND|Foul by Gladbach.
42:05|APPEND|Ramaj to Fohrenbach.
42:07|APPEND|to Mainka.
42:11|APPEND|to Busch.
42:14|APPEND|to Mainka.
42:17|APPEND|to Ramaj.
42:26|APPEND|Nicolas to Elvedi.
42:29|APPEND|to Reitz.
42:31|APPEND|to Nicolas.
42:48|APPEND|to Mohya.
