# Real Madrid 1-2 Bayern Munich | Full Match | UCL QF 1st Leg 2026-04-07
# Generated from Sportradar Extended API (1141 events)
# Format: mm:ss|priority|message
# Total speak events: 1046
#
00:02|APPEND|Diaz to Neuer.
00:07|APPEND|Neuer loses possession with a stray pass.
00:11|APPEND|Pavlovic to Diaz.
00:12|APPEND|to Upamecano.
00:13|APPEND|to Stanisic.
00:14|APPEND|to Olise.
00:16|APPEND|to Stanisic.
00:21|APPEND|Throw-in for Real Madrid.
00:36|APPEND|Carreras loses possession with a stray pass.
00:41|APPEND|Stanisic to Kimmich.
00:44|INTERRUPT|Kimmich picks out Laimer 15 meters from goal, but the midfielder's right-footed attempt sailed well over the frame.
00:46|APPEND|Goal kick for Real Madrid.
00:47|APPEND|Kimmich to Laimer.
01:08|APPEND|Huijsen to Lunin.
01:10|APPEND|to Rudiger.
01:11|APPEND|to Alexander-Arnold.
01:14|APPEND|Alexander-Arnold loses possession with a stray pass.
01:31|APPEND|Laimer to Diaz.
01:34|APPEND|Throw-in for Bayern Munich.
01:35|APPEND|Diaz loses possession with a stray pass.
01:38|APPEND|Throw-in for Real Madrid.
01:44|APPEND|Alexander-Arnold to Guler.
01:48|APPEND|to Alexander-Arnold.
01:54|APPEND|Throw-in for Bayern Munich.
01:59|APPEND|Laimer to Tah.
02:00|APPEND|to Upamecano.
02:01|APPEND|to Laimer.
02:05|APPEND|to Pavlovic.
02:06|APPEND|to Pavlovic.
02:07|APPEND|to Neuer.
02:09|APPEND|to Upamecano.
02:15|APPEND|Upamecano loses possession with a stray pass.
02:16|APPEND|Carreras to Tchouameni.
02:19|APPEND|to Pitarch Pinar.
02:20|APPEND|to Carreras.
02:27|APPEND|Mbappe to Alexander-Arnold.
02:31|APPEND|Alexander-Arnold loses possession with a stray pass.
02:36|APPEND|Valverde to Vinicius Junior.
02:45|APPEND|Throw-in for Real Madrid.
02:47|APPEND|Great tackle by Upamecano!
02:50|APPEND|Carreras to Tchouameni.
02:52|APPEND|to Pitarch Pinar.
02:53|APPEND|to Rudiger.
02:56|APPEND|to Huijsen.
03:01|APPEND|to Rudiger.
03:06|APPEND|to Huijsen.
03:10|APPEND|to Guler.
03:16|APPEND|to Vinicius Junior.
03:19|APPEND|to Valverde.
03:28|APPEND|Great tackle by Vinicius Junior!
03:29|APPEND|to Carreras.
03:32|APPEND|to Huijsen.
03:34|APPEND|to Tchouameni.
03:37|APPEND|to Rudiger.
03:40|APPEND|to Huijsen.
03:45|APPEND|to Guler.
03:47|APPEND|to Vinicius Junior.
03:52|APPEND|to Huijsen.
03:54|APPEND|to Rudiger.
03:57|APPEND|to Pitarch Pinar.
04:03|APPEND|to Carreras.
04:09|APPEND|to Pitarch Pinar.
04:12|APPEND|to Huijsen.
04:13|APPEND|to Lunin.
04:16|APPEND|Lunin loses possession with a stray pass.
04:24|APPEND|Laimer to Tah.
04:25|APPEND|Throw-in for Bayern Munich.
04:28|APPEND|Tah to Pavlovic.
04:30|APPEND|to Tah.
04:32|APPEND|to Kimmich.
04:35|APPEND|to Tah.
04:37|APPEND|to Upamecano.
04:40|APPEND|to Olise.
05:00|APPEND|Foul by Real Madrid.
05:01|APPEND|Bayern Munich earn a dead-ball opportunity in a high-leverage pocket of the final third. The ball is positioned 20 meters from goal in the half-space as the defensive line adjusts.
06:14|INTERRUPT|Michael Olise crafts an opening in the half-space and unleashes a left-footed strike from 25 meters, but the effort rises too steeply and clears the crossbar.
06:15|APPEND|Goal kick for Real Madrid.
06:40|APPEND|Olise prepares to swing in the corner, aiming to record his fifth assist of the campaign and reward the visitors' early dominance.
07:21|APPEND|Kimmich stands over the quadrant, looking to capitalize on Bayern's persistent early pressure with this delivery.
07:45|APPEND|Kimmich positions the delivery as Bayern Munich maintain their relentless assault on the Madrid penalty area.
07:51|APPEND|Upamecano to Pavlovic.
07:52|APPEND|Valverde to Vinicius Junior.
07:53|APPEND|Pavlovic to Gnabry.
08:20|APPEND|Foul by Real Madrid.
08:46|APPEND|Kimmich to Kimmich.
08:47|APPEND|to Diaz.
08:51|APPEND|to Tah.
09:04|APPEND|Kane to Upamecano.
09:32|APPEND|Rudiger to Lunin.
09:34|INTERRUPT|Upamecano finds space in a central channel ten meters from the goal line and steers the effort wide.
09:35|APPEND|Lunin to Tchouameni.
09:36|APPEND|to Lunin.
09:38|APPEND|to Vinicius Junior.
09:40|APPEND|to Guler.
09:42|APPEND|to Vinicius Junior.
09:47|APPEND|Olise loses possession with a stray pass.
09:49|APPEND|Vinicius Junior to Carreras.
09:51|APPEND|to Tchouameni.
09:53|APPEND|to Pitarch Pinar.
09:58|APPEND|to Huijsen.
10:00|APPEND|to Carreras.
10:03|APPEND|to Vinicius Junior.
10:07|APPEND|to Tchouameni.
10:12|APPEND|to Lunin.
10:15|APPEND|to Rudiger.
10:18|APPEND|Rudiger loses possession with a stray pass.
10:21|APPEND|Laimer to Diaz.
10:24|APPEND|to Kimmich.
10:28|APPEND|to Laimer.
10:29|APPEND|to Kimmich.
10:30|APPEND|to Diaz.
10:34|APPEND|to Pavlovic.
10:37|APPEND|to Upamecano.
10:39|APPEND|to Diaz.
10:44|APPEND|to Stanisic.
10:47|APPEND|to Diaz.
10:51|APPEND|Alexander-Arnold loses possession with a stray pass.
11:01|APPEND|Diaz loses possession with a stray pass.
11:13|APPEND|Stanisic to Upamecano.
11:16|APPEND|to Kimmich.
11:18|APPEND|to Diaz.
11:24|APPEND|to Laimer.
11:26|APPEND|to Kimmich.
11:30|APPEND|to Olise.
11:43|APPEND|Guler loses possession with a stray pass.
11:45|APPEND|Upamecano to Neuer.
11:48|APPEND|to Stanisic.
11:52|APPEND|to Diaz.
11:55|APPEND|to Tah.
11:57|APPEND|to Stanisic.
12:00|APPEND|to Olise.
12:05|APPEND|to Pavlovic.
12:11|APPEND|Guler to Tchouameni.
12:13|APPEND|Pavlovic loses possession with a stray pass.
12:14|APPEND|Tchouameni to Carreras.
12:15|APPEND|to Guler.
12:20|APPEND|to Valverde.
12:22|APPEND|to Pitarch Pinar.
12:26|APPEND|to Alexander-Arnold.
12:27|APPEND|to Rudiger.
12:29|APPEND|to Tchouameni.
12:32|APPEND|to Vinicius Junior.
12:36|APPEND|to Carreras.
12:39|APPEND|to Huijsen.
13:03|APPEND|Goal kick for Bayern Munich.
13:23|APPEND|Huijsen to Lunin.
13:27|APPEND|Lunin loses possession with a stray pass.
13:43|APPEND|Throw-in for Real Madrid.
13:50|APPEND|Tchouameni to Huijsen.
13:53|APPEND|to Mbappe.
13:54|APPEND|to Alexander-Arnold.
13:58|APPEND|Alexander-Arnold loses possession with a stray pass.
14:00|APPEND|Laimer to Neuer.
14:03|APPEND|to Gnabry.
14:05|APPEND|to Tah.
14:08|APPEND|to Gnabry.
14:11|APPEND|to Tah.
14:12|APPEND|Valverde reads it well and intercepts.
14:13|APPEND|to Mbappe.
14:22|APPEND|Foul by Bayern Munich.
15:09|APPEND|Vinicius Junior to Mbappe.
15:21|APPEND|Mbappe loses possession with a stray pass.
15:30|APPEND|Neuer loses possession with a stray pass.
15:34|APPEND|Alexander-Arnold to Guler.
15:38|APPEND|to Mbappe.
15:43|INTERRUPT|Kylian Mbappe bursts through the middle of the final third and strikes from 10 meters, but the shot is saved.
15:47|INTERRUPT|Vinicius Junior cuts into the half-space and hammers a right-footed shot from 20 meters that rises over the right side of the frame.
15:50|APPEND|Goal kick for Bayern Munich.
16:16|APPEND|Neuer to Olise.
16:18|APPEND|Olise loses possession with a stray pass.
16:27|APPEND|Foul by Real Madrid.
16:52|APPEND|Kimmich to Pavlovic.
16:56|APPEND|to Diaz.
16:58|APPEND|to Laimer.
17:01|APPEND|to Diaz.
17:03|APPEND|to Kimmich.
17:05|APPEND|to Stanisic.
17:13|APPEND|to Gnabry.
17:16|INTERRUPT|Stanisic picks out Gnabry in a central channel 20 meters out; the attacker's left-footed hit deflected off a defender and spiraled wide.
17:17|APPEND|Gnabry to Kimmich.
17:20|APPEND|to Olise.
17:25|APPEND|Laimer to Pavlovic.
17:27|APPEND|Huijsen to Guler.
17:28|APPEND|to Mbappe.
17:29|APPEND|Pavlovic loses possession with a stray pass.
17:30|APPEND|Arda Guler stands over the set-piece, poised to carve out a definitive opening in this tight quarterfinal clash.
17:34|APPEND|Mbappe to Vinicius Junior.
17:42|INTERRUPT|Mbappe feeds Vinicius Junior centrally within the attacking third. Vinicius Junior strikes a low right-footed drive at a distance of 20 meters toward the bottom right corner, forcing a save.
18:00|APPEND|Guler to Alexander-Arnold.
18:02|APPEND|to Valverde.
18:03|APPEND|to Alexander-Arnold.
18:10|INTERRUPT|Trent Alexander-Arnold feeds Aurelien Tchouameni in a dangerous central position. Tchouameni strikes from 15 meters out, but the ball blazes high and wide of the top right corner.
18:12|APPEND|Goal kick for Bayern Munich.
18:31|APPEND|Tah to Upamecano.
18:35|APPEND|Upamecano loses possession with a stray pass.
18:47|APPEND|Throw-in for Bayern Munich.
18:49|APPEND|Olise to Upamecano.
18:53|APPEND|to Pavlovic.
18:54|APPEND|to Stanisic.
18:58|APPEND|to Kimmich.
19:01|APPEND|to Stanisic.
19:03|APPEND|to Pavlovic.
19:07|APPEND|to Tah.
19:15|APPEND|to Pavlovic.
19:21|APPEND|to Upamecano.
19:26|APPEND|to Stanisic.
19:28|APPEND|to Gnabry.
19:33|APPEND|to Olise.
19:44|APPEND|Kimmich loses possession with a stray pass.
20:07|APPEND|Foul by Bayern Munich.
20:40|APPEND|Lunin loses possession with a stray pass.
20:46|APPEND|Tah to Gnabry.
20:49|APPEND|to Tah.
20:50|APPEND|to Olise.
20:53|APPEND|to Stanisic.
20:55|APPEND|to Olise.
20:58|APPEND|to Tah.
21:02|APPEND|to Pavlovic.
21:05|APPEND|to Laimer.
21:06|APPEND|to Diaz.
21:16|APPEND|to Pavlovic.
21:21|APPEND|to Kimmich.
21:25|APPEND|to Olise.
21:28|APPEND|to Stanisic.
21:31|APPEND|to Upamecano.
21:33|APPEND|to Diaz.
21:36|APPEND|to Kimmich.
21:38|APPEND|to Pavlovic.
21:43|APPEND|to Gnabry.
21:44|APPEND|to Pavlovic.
21:45|APPEND|to Diaz.
21:50|APPEND|to Pavlovic.
21:54|APPEND|to Kimmich.
21:55|APPEND|to Stanisic.
21:56|APPEND|to Kimmich.
22:00|APPEND|to Olise.
